"","RL.cat","pext","RL.cat.num"
"143","LC",0.0109402822888823,0.0715
"144","LC",0.0110038156707302,0.072
"145","LC",0.0110673181837196,0.0725
"146","LC",0.0111307898432278,0.073
"147","LC",0.0111942306646317,0.0735
"148","LC",0.0112576406633071,0.074
"149","LC",0.0113210198546296,0.0745
"150","LC",0.0113843682539739,0.075
"151","LC",0.0114476858767139,0.0755
"152","LC",0.0115109727382231,0.076
"153","LC",0.0115742288538742,0.0765
"154","LC",0.0116374542390391,0.077
"155","LC",0.0117006489090893,0.0775
"156","LC",0.0117638128793953,0.078
"157","LC",0.0118269461653273,0.0785
"158","LC",0.0118900487822545,0.079
"159","LC",0.0119531207455456,0.0795
"160","LC",0.0120161620705685,0.08
"161","LC",0.0120791727726906,0.0805
"162","LC",0.0121421528672785,0.081
"163","LC",0.0122051023696982,0.0815
"164","LC",0.012268021295315,0.082
"165","LC",0.0123309096594935,0.0825
"166","LC",0.0123937674775976,0.083
"167","LC",0.0124565947649905,0.0835
"168","LC",0.012519391537035,0.084
"169","LC",0.0125821578090929,0.0845
"170","LC",0.0126448935965255,0.085
"171","LC",0.0127075989146934,0.0855
"172","LC",0.0127702737789564,0.086
"173","LC",0.0128329182046737,0.0865
"174","LC",0.0128955322072041,0.087
"175","LC",0.0129581158019053,0.0875
"176","LC",0.0130206690041345,0.088
"177","LC",0.0130831918292483,0.0885
"178","LC",0.0131456842926026,0.089
"179","LC",0.0132081464095525,0.0895
"180","LC",0.0132705781954526,0.09
"181","LC",0.0133329796656567,0.0905
"182","LC",0.013395350835518,0.091
"183","LC",0.013457691720389,0.0915
"184","LC",0.0135200023356216,0.092
"185","LC",0.0135822826965668,0.0925
"186","LC",0.0136445328185751,0.093
"187","LC",0.0137067527169965,0.0935
"188","LC",0.0137689424071799,0.094
"189","LC",0.0138311019044739,0.0945
"190","LC",0.0138932312242263,0.095
"191","LC",0.0139553303817841,0.0955
"192","LC",0.0140173993924939,0.096
"193","LC",0.0140794382717013,0.0965
"194","LC",0.0141414470347516,0.097
"195","LC",0.014203425696989,0.0975
"196","LC",0.0142653742737574,0.098
"197","LC",0.0143272927803998,0.0985
"198","LC",0.0143891812322587,0.099
"199","LC",0.0144510396446758,0.0995
"200","LC",0.0145128680329921,0.1
"201","LC",0.014574666412548,0.1005
"202","LC",0.0146364347986832,0.101
"203","LC",0.0146981732067368,0.1015
"204","LC",0.0147598816520472,0.102
"205","LC",0.0148215601499519,0.1025
"206","LC",0.0148832087157882,0.103
"207","LC",0.0149448273648922,0.1035
"208","LC",0.0150064161125997,0.104
"209","LC",0.0150679749742456,0.1045
"210","LC",0.0151295039651644,0.105
"211","LC",0.0151910031006896,0.1055
"212","LC",0.0152524723961542,0.106
"213","LC",0.0153139118668906,0.1065
"214","LC",0.0153753215282304,0.107
"215","LC",0.0154367013955045,0.1075
"216","LC",0.0154980514840432,0.108
"217","LC",0.0155593718091762,0.1085
"218","LC",0.0156206623862323,0.109
"219","LC",0.0156819232305399,0.1095
"220","LC",0.0157431543574266,0.11
"221","LC",0.0158043557822193,0.1105
"222","LC",0.0158655275202441,0.111
"223","LC",0.0159266695868268,0.1115
"224","LC",0.0159877819972922,0.112
"225","LC",0.0160488647669645,0.1125
"226","LC",0.0161099179111673,0.113
"227","LC",0.0161709414452235,0.1135
"228","LC",0.0162319353844553,0.114
"229","LC",0.0162928997441842,0.1145
"230","LC",0.0163538345397311,0.115
"231","LC",0.0164147397864162,0.1155
"232","LC",0.016475615499559,0.116
"233","LC",0.0165364616944784,0.1165
"234","LC",0.0165972783864925,0.117
"235","LC",0.0166580655909188,0.1175
"236","LC",0.0167188233230741,0.118
"237","LC",0.0167795515982747,0.1185
"238","LC",0.016840250431836,0.119
"239","LC",0.0169009198390727,0.1195
"240","LC",0.0169615598352991,0.12
"241","LC",0.0170221704358286,0.1205
"242","LC",0.017082751655974,0.121
"243","LC",0.0171433035110473,0.1215
"244","LC",0.0172038260163601,0.122
"245","LC",0.0172643191872231,0.1225
"246","LC",0.0173247830389464,0.123
"247","LC",0.0173852175868394,0.1235
"248","LC",0.0174456228462109,0.124
"249","LC",0.0175059988323689,0.1245
"250","LC",0.0175663455606209,0.125
"251","LC",0.0176266630462735,0.1255
"252","LC",0.017686951304633,0.126
"253","LC",0.0177472103510045,0.1265
"254","LC",0.0178074402006928,0.127
"255","LC",0.0178676408690021,0.1275
"256","LC",0.0179278123712356,0.128
"257","LC",0.017987954722696,0.1285
"258","LC",0.0180480679386853,0.129
"259","LC",0.0181081520345049,0.1295
"260","LC",0.0181682070254555,0.13
"261","LC",0.0182282329268371,0.1305
"262","LC",0.018288229753949,0.131
"263","LC",0.0183481975220898,0.1315
"264","LC",0.0184081362465575,0.132
"265","LC",0.0184680459426494,0.1325
"266","LC",0.0185279266256623,0.133
"267","LC",0.0185877783108919,0.1335
"268","LC",0.0186476010136336,0.134
"269","LC",0.0187073947491821,0.1345
"270","LC",0.0187671595328312,0.135
"271","LC",0.0188268953798743,0.1355
"272","LC",0.0188866023056039,0.136
"273","LC",0.0189462803253119,0.1365
"274","LC",0.0190059294542897,0.137
"275","LC",0.0190655497078277,0.1375
"276","LC",0.0191251411012159,0.138
"277","LC",0.0191847036497435,0.1385
"278","LC",0.0192442373686991,0.139
"279","LC",0.0193037422733705,0.1395
"280","LC",0.019363218379045,0.14
"281","LC",0.019422665701009,0.1405
"282","LC",0.0194820842545486,0.141
"283","LC",0.0195414740549487,0.1415
"284","LC",0.0196008351174941,0.142
"285","LC",0.0196601674574684,0.1425
"286","LC",0.019719471090155,0.143
"287","LC",0.0197787460308362,0.1435
"288","LC",0.0198379922947939,0.144
"289","LC",0.0198972098973093,0.1445
"290","LC",0.0199563988536628,0.145
"291","LC",0.0200155591791342,0.1455
"292","LC",0.0200746908890028,0.146
"293","LC",0.0201337939985468,0.1465
"294","LC",0.0201928685230442,0.147
"295","LC",0.0202519144777721,0.1475
"296","LC",0.0203109318780068,0.148
"297","LC",0.0203699207390241,0.1485
"298","LC",0.0204288810760992,0.149
"299","LC",0.0204878129045064,0.1495
"300","LC",0.0205467162395196,0.15
"301","LC",0.0206055910964117,0.1505
"302","LC",0.0206644374904553,0.151
"303","LC",0.0207232554369219,0.1515
"304","LC",0.0207820449510827,0.152
"305","LC",0.020840806048208,0.1525
"306","LC",0.0208995387435676,0.153
"307","LC",0.0209582430524305,0.1535
"308","LC",0.0210169189900651,0.154
"309","LC",0.021075566571739,0.1545
"310","LC",0.0211341858127193,0.155
"311","LC",0.0211927767282723,0.1555
"312","LC",0.0212513393336636,0.156
"313","LC",0.0213098736441584,0.1565
"314","LC",0.0213683796750209,0.157
"315","LC",0.0214268574415147,0.1575
"316","LC",0.0214853069589028,0.158
"317","LC",0.0215437282424476,0.1585
"318","LC",0.0216021213074106,0.159
"319","LC",0.0216604861690529,0.1595
"320","LC",0.0217188228426347,0.16
"321","LC",0.0217771313434156,0.1605
"322","LC",0.0218354116866546,0.161
"323","LC",0.0218936638876099,0.1615
"324","LC",0.0219518879615392,0.162
"325","LC",0.0220100839236993,0.1625
"326","LC",0.0220682517893465,0.163
"327","LC",0.0221263915737363,0.1635
"328","LC",0.0221845032921238,0.164
"329","LC",0.022242586959763,0.1645
"330","LC",0.0223006425919076,0.165
"331","LC",0.0223586702038104,0.1655
"332","LC",0.0224166698107237,0.166
"333","LC",0.0224746414278989,0.1665
"334","LC",0.022532585070587,0.167
"335","LC",0.0225905007540381,0.1675
"336","LC",0.0226483884935018,0.168
"337","LC",0.0227062483042268,0.1685
"338","LC",0.0227640802014614,0.169
"339","LC",0.0228218842004531,0.1695
"340","LC",0.0228796603164487,0.17
"341","LC",0.0229374085646942,0.1705
"342","LC",0.0229951289604353,0.171
"343","LC",0.0230528215189168,0.1715
"344","LC",0.0231104862553826,0.172
"345","LC",0.0231681231850764,0.1725
"346","LC",0.0232257323232408,0.173
"347","LC",0.023283313685118,0.1735
"348","LC",0.0233408672859495,0.174
"349","LC",0.023398393140976,0.1745
"350","LC",0.0234558912654376,0.175
"351","LC",0.0235133616745737,0.1755
"352","LC",0.0235708043836231,0.176
"353","LC",0.0236282194078238,0.1765
"354","LC",0.0236856067624132,0.177
"355","LC",0.0237429664626281,0.1775
"356","LC",0.0238002985237046,0.178
"357","LC",0.0238576029608779,0.1785
"358","LC",0.0239148797893829,0.179
"359","LC",0.0239721290244534,0.1795
"360","LC",0.024029350681323,0.18
"361","LC",0.0240865447752243,0.1805
"362","LC",0.0241437113213893,0.181
"363","LC",0.0242008503350493,0.1815
"364","LC",0.0242579618314351,0.182
"365","LC",0.0243150458257766,0.1825
"366","LC",0.0243721023333031,0.183
"367","LC",0.0244291313692433,0.1835
"368","LC",0.0244861329488252,0.184
"369","LC",0.024543107087276,0.1845
"370","LC",0.0246000537998224,0.185
"371","LC",0.0246569731016904,0.1855
"372","LC",0.0247138650081053,0.186
"373","LC",0.0247707295342916,0.1865
"374","LC",0.0248275666954733,0.187
"375","LC",0.0248843765068736,0.1875
"376","LC",0.0249411589837152,0.188
"377","LC",0.02499791414122,0.1885
"378","LC",0.0250546419946092,0.189
"379","LC",0.0251113425591033,0.1895
"380","LC",0.0251680158499224,0.19
"381","LC",0.0252246618822855,0.1905
"382","LC",0.0252812806714114,0.191
"383","LC",0.0253378722325177,0.1915
"384","LC",0.0253944365808219,0.192
"385","LC",0.0254509737315403,0.1925
"386","LC",0.0255074836998888,0.193
"387","LC",0.0255639665010827,0.1935
"388","LC",0.0256204221503365,0.194
"389","LC",0.0256768506628639,0.1945
"390","LC",0.0257332520538782,0.195
"391","LC",0.0257896263385919,0.1955
"392","LC",0.0258459735322167,0.196
"393","LC",0.0259022936499639,0.1965
"394","LC",0.0259585867070439,0.197
"395","LC",0.0260148527186665,0.1975
"396","LC",0.0260710917000408,0.198
"397","LC",0.0261273036663753,0.1985
"398","LC",0.0261834886328778,0.199
"399","LC",0.0262396466147553,0.1995
"400","LC",0.0262957776272144,0.2
"401","LC",0.0263518816854608,0.2005
"402","LC",0.0264079588046996,0.201
"403","LC",0.0264640090001352,0.2015
"404","LC",0.0265200322869713,0.202
"405","LC",0.026576028680411,0.2025
"406","LC",0.0266319981956567,0.203
"407","LC",0.0266879408479102,0.2035
"408","LC",0.0267438566523725,0.204
"409","LC",0.0267997456242439,0.2045
"410","LC",0.0268556077787243,0.205
"411","LC",0.0269114431310125,0.2055
"412","LC",0.026967251696307,0.206
"413","LC",0.0270230334898055,0.2065
"414","LC",0.0270787885267049,0.207
"415","LC",0.0271345168222017,0.2075
"416","LC",0.0271902183914914,0.208
"417","LC",0.0272458932497692,0.2085
"418","LC",0.0273015414122292,0.209
"419","LC",0.0273571628940651,0.2095
"420","LC",0.02741275771047,0.21
"421","LC",0.0274683258766361,0.2105
"422","LC",0.0275238674077551,0.211
"423","LC",0.0275793823190179,0.2115
"424","LC",0.0276348706256148,0.212
